date,ticker,cumulative_return
2020-08-04,ACB,0.020895522388059584
2020-08-05,ACB,0.03432835820895508
2020-08-06,ACB,0.025373134328358082
2020-08-07,ACB,0.020895522388059584
2020-08-10,ACB,0.025373134328358304
2020-08-11,ACB,0.0940298507462689
2020-08-12,ACB,0.0940298507462689
2020-08-13,ACB,0.09850746268656763
2020-08-14,ACB,0.08955223880597041
2020-08-17,ACB,0.11194029850746312
2020-08-18,ACB,0.10298507462686612
2020-08-19,ACB,0.10298507462686612
2020-08-20,ACB,0.16417910447761241
2020-08-21,ACB,0.18656716417910513
2020-08-24,ACB,0.17611940298507522
2020-08-25,ACB,0.1820895522388064
2020-08-26,ACB,0.18656716417910513
2020-08-27,ACB,0.20447761194029912
2020-08-28,ACB,0.1985074626865675
2020-08-31,ACB,0.1865671641791049
2020-09-01,ACB,0.1820895522388064
2020-09-03,ACB,0.18656716417910513
2020-09-04,ACB,0.18208955223880663
2020-09-07,ACB,0.16417910447761264
2020-09-08,ACB,0.15373134328358273
2020-09-09,ACB,0.17014925373134382
2020-09-10,ACB,0.17014925373134382
2020-09-11,ACB,0.16417910447761264
2020-09-14,ACB,0.18656716417910535
2020-09-15,ACB,0.19253731343283675
2020-09-16,ACB,0.18656716417910535
2020-09-17,ACB,0.20447761194029934
2020-09-18,ACB,0.21492537313432925
2020-09-21,ACB,0.23134328358209033
2020-09-22,ACB,0.24925373134328432
2020-09-23,ACB,0.2597014925373142
2020-09-24,ACB,0.24328358208955314
2020-09-25,ACB,0.24328358208955314
2020-09-28,ACB,0.26567164179104563
2020-09-29,ACB,0.25373134328358304
2020-09-30,ACB,0.25970149253731445
2020-10-01,ACB,0.25970149253731445
2020-10-02,ACB,0.28805970149253857
2020-10-05,ACB,0.32089552238806074
2020-10-06,ACB,0.34328358208955323
2020-10-07,ACB,0.31044776119403084
2020-10-08,ACB,0.29850746268656825
2020-10-09,ACB,0.31641791044776224
2020-10-12,ACB,0.30447761194029943
2020-10-13,ACB,0.31044776119403084
2020-10-14,ACB,0.34328358208955345
2020-10-15,ACB,0.37164179104477735
2020-10-16,ACB,0.38358208955224016
2020-10-19,ACB,0.4164179104477628
2020-10-20,ACB,0.4164179104477628
2020-10-21,ACB,0.4119402985074643
2020-10-22,ACB,0.43283582089552386
2020-10-23,ACB,0.43283582089552386
2020-10-26,ACB,0.3880597014925389
2020-10-27,ACB,0.3656716417910464
2020-10-28,ACB,0.33283582089552377
2020-10-29,ACB,0.3388059701492554
2020-10-30,ACB,0.3492537313432851
2020-11-02,ACB,0.37164179104477757
2020-11-03,ACB,0.4000000000000017
2020-11-04,ACB,0.4283582089552256
2020-11-05,ACB,0.3940298507462703
2020-11-06,ACB,0.4059701492537331
2020-11-09,ACB,0.4223880597014942
2020-11-10,ACB,0.416417910447763
2020-11-11,ACB,0.4223880597014942
2020-11-12,ACB,0.4776119402985093
2020-11-13,ACB,0.48358208955224025
2020-11-16,ACB,0.46716417910447916
2020-11-17,ACB,0.522388059701494
2020-11-18,ACB,0.522388059701494
2020-11-19,ACB,0.522388059701494
2020-11-20,ACB,0.5283582089552255
2020-11-23,ACB,0.5283582089552255
2020-11-24,ACB,0.5283582089552255
2020-11-25,ACB,0.5283582089552255
2020-11-26,ACB,0.5343283582089569
2020-11-27,ACB,0.5223880597014943
2020-11-30,ACB,0.5223880597014943
2020-12-01,ACB,0.5283582089552257
2020-12-02,ACB,0.5283582089552257
2020-12-03,ACB,0.5283582089552257
2020-12-04,ACB,0.5283582089552257
2020-12-07,ACB,0.5283582089552257
2020-12-08,ACB,0.5283582089552257
2020-12-09,ACB,0.598507462686569
2020-12-10,ACB,0.5656716417910466
2020-12-11,ACB,0.5791044776119421
2020-12-14,ACB,0.5791044776119421
2020-12-15,ACB,0.5671641791044795
2020-12-16,ACB,0.5820895522388079
2020-12-17,ACB,0.5850746268656735
2020-12-18,ACB,0.5910447761194049
2020-12-21,ACB,0.6208955223880614
2020-12-22,ACB,0.6104477611940315
2020-12-23,ACB,0.5731343283582107
2020-12-24,ACB,0.5283582089552257
2020-12-25,ACB,0.5656716417910466
2020-12-28,ACB,0.5567164179104496
2020-12-29,ACB,0.5507462686567184
2020-12-30,ACB,0.5567164179104498
2020-12-31,ACB,0.5731343283582109
2021-01-04,ACB,0.6044776119403006
2021-01-05,ACB,0.6432835820895544
2021-01-06,ACB,0.6746268656716443
2021-01-07,ACB,0.6746268656716443
2021-01-08,ACB,0.6910447761194054
2021-01-11,ACB,0.7000000000000024
2021-01-12,ACB,0.6850746268656738
2021-01-13,ACB,0.6716417910447783
2021-01-14,ACB,0.6716417910447783
2021-01-15,ACB,0.694029850746271
2021-01-18,ACB,0.6776119402985099
2021-01-19,ACB,0.5626865671641814
2021-01-20,ACB,0.5850746268656739
2021-01-21,ACB,0.6208955223880621
2021-01-22,ACB,0.604477611940301
2021-01-25,ACB,0.5731343283582113
2021-01-26,ACB,0.5567164179104502
2021-01-27,ACB,0.5402985074626891
2021-01-28,ACB,0.43283582089552475
2021-01-29,ACB,0.5014925373134356
2021-02-01,ACB,0.49253731343283835
2021-02-02,ACB,0.5313432835820922
2021-02-03,ACB,0.5731343283582115
2021-02-04,ACB,0.579104477611943
2021-02-05,ACB,0.5955223880597043
2021-02-08,ACB,0.5402985074626894
2021-02-09,ACB,0.5985074626865701
2021-02-17,ACB,0.6462686567164206
