date,ticker,daily_return
2020-08-04,ACB,0.020895522388059584
2020-08-05,ACB,0.013157894736842035
2020-08-06,ACB,-0.008658008658008587
2020-08-07,ACB,-0.004366812227074246
2020-08-10,ACB,0.004385964912280826
2020-08-11,ACB,0.06695778748180503
2020-08-12,ACB,0.0
2020-08-13,ACB,0.004092769440654953
2020-08-14,ACB,-0.00815217391304357
2020-08-17,ACB,0.020547945205479534
2020-08-18,ACB,-0.008053691275167862
2020-08-19,ACB,0.0
2020-08-20,ACB,0.05548037889039237
2020-08-21,ACB,0.019230769230769384
2020-08-24,ACB,-0.008805031446540879
2020-08-25,ACB,0.0050761421319796
2020-08-26,ACB,0.0037878787878788955
2020-08-27,ACB,0.015094339622641506
2020-08-28,ACB,-0.004956629491945641
2020-08-31,ACB,-0.00996264009962633
2020-09-01,ACB,-0.0037735849056603765
2020-09-03,ACB,0.0037878787878788955
2020-09-04,ACB,-0.0037735849056603765
2020-09-07,ACB,-0.015151515151515138
2020-09-08,ACB,-0.008974358974358942
2020-09-09,ACB,0.014230271668822736
2020-09-10,ACB,0.0
2020-09-11,ACB,-0.005102040816326481
2020-09-14,ACB,0.019230769230769384
2020-09-15,ACB,0.005031446540880502
2020-09-16,ACB,-0.005006257822277815
2020-09-17,ACB,0.015094339622641506
2020-09-18,ACB,0.00867410161090465
2020-09-21,ACB,0.013513513513513375
2020-09-22,ACB,0.014545454545454417
2020-09-23,ACB,0.008363201911589124
2020-09-24,ACB,-0.013033175355450122
2020-09-25,ACB,0.0
2020-09-28,ACB,0.01800720288115243
2020-09-29,ACB,-0.009433962264150941
2020-09-30,ACB,0.004761904761904745
2020-10-01,ACB,0.0
2020-10-02,ACB,0.02251184834123232
2020-10-05,ACB,0.025492468134414636
2020-10-06,ACB,0.016949152542372836
2020-10-07,ACB,-0.02444444444444449
2020-10-08,ACB,-0.009111617312072884
2020-10-09,ACB,0.01379310344827589
2020-10-12,ACB,-0.009070294784580546
2020-10-13,ACB,0.004576659038901587
2020-10-14,ACB,0.02505694760820054
2020-10-15,ACB,0.02111111111111108
2020-10-16,ACB,0.008705114254624613
2020-10-19,ACB,0.02373247033441217
2020-10-20,ACB,0.0
2020-10-21,ACB,-0.0031612223393044925
2020-10-22,ACB,0.014799154334038
2020-10-23,ACB,0.0
2020-10-26,ACB,-0.03124999999999989
2020-10-27,ACB,-0.016129032258064502
2020-10-28,ACB,-0.024043715846994607
2020-10-29,ACB,0.004479283314669846
2020-10-30,ACB,0.007803790412485911
2020-11-02,ACB,0.0165929203539823
2020-11-03,ACB,0.020674646354733595
2020-11-04,ACB,0.02025586353944564
2020-11-05,ACB,-0.024033437826541326
2020-11-06,ACB,0.008565310492505418
2020-11-09,ACB,0.011677282377919207
2020-11-10,ACB,-0.0041972717733472775
2020-11-11,ACB,0.004214963119072657
2020-11-12,ACB,0.0388247639034629
2020-11-13,ACB,0.004040404040403844
2020-11-16,ACB,-0.011066398390341958
2020-11-17,ACB,0.03763987792472023
2020-11-18,ACB,0.0
2020-11-19,ACB,0.0
2020-11-20,ACB,0.0039215686274509665
2020-11-23,ACB,0.0
2020-11-24,ACB,0.0
2020-11-25,ACB,0.0
2020-11-26,ACB,0.00390625
2020-11-27,ACB,-0.0077821011673151474
2020-11-30,ACB,0.0
2020-12-01,ACB,0.0039215686274509665
2020-12-02,ACB,0.0
2020-12-03,ACB,0.0
2020-12-04,ACB,0.0
2020-12-07,ACB,0.0
2020-12-08,ACB,0.0
2020-12-09,ACB,0.0458984375
2020-12-10,ACB,-0.020541549953314697
2020-12-11,ACB,0.008579599618684375
2020-12-14,ACB,0.0
2020-12-15,ACB,-0.007561436672967825
2020-12-16,ACB,0.00952380952380949
2020-12-17,ACB,0.0018867924528300772
2020-12-18,ACB,0.0037664783427495685
2020-12-21,ACB,0.018761726078799112
2020-12-22,ACB,-0.006445672191528584
2020-12-23,ACB,-0.023169601482854518
2020-12-24,ACB,-0.028462998102466663
2020-12-25,ACB,0.0244140625
2020-12-28,ACB,-0.0057197330791229906
2020-12-29,ACB,-0.003835091083413178
2020-12-30,ACB,0.0038498556304138454
2020-12-31,ACB,0.010546500479386323
2021-01-04,ACB,0.019924098671726842
2021-01-05,ACB,0.024186046511627923
2021-01-06,ACB,0.019073569482289
2021-01-07,ACB,0.0
2021-01-08,ACB,0.009803921568627416
2021-01-11,ACB,0.005295675198587757
2021-01-12,ACB,-0.008779631255487419
2021-01-13,ACB,-0.00797165633303809
2021-01-14,ACB,0.0
2021-01-15,ACB,0.013392857142857206
2021-01-18,ACB,-0.009691629955947079
2021-01-19,ACB,-0.06850533807829173
2021-01-20,ACB,0.014326647564469885
2021-01-21,ACB,0.02259887005649719
2021-01-22,ACB,-0.01012891344383049
2021-01-25,ACB,-0.019534883720930263
2021-01-26,ACB,-0.010436432637571103
2021-01-27,ACB,-0.010546500479386323
2021-01-28,ACB,-0.06976744186046513
2021-01-29,ACB,0.04791666666666683
2021-02-01,ACB,-0.005964214711729698
2021-02-02,ACB,0.026000000000000023
2021-02-03,ACB,0.02729044834307981
2021-02-04,ACB,0.00379506641366234
2021-02-05,ACB,0.010396975425330801
2021-02-08,ACB,-0.03461178671655751
2021-02-09,ACB,0.03779069767441867
2021-02-17,ACB,0.029878618113912125
2021-02-18,ACB,-0.008159564823209453
2021-02-19,ACB,0.06672760511882991
2021-02-22,ACB,0.016281062553556103
2021-02-23,ACB,0.002529510961214232
2021-02-24,ACB,-0.015138772077375906
2021-02-25,ACB,0.038428693424423566
2021-02-26,ACB,0.019736842105263275
2021-03-01,ACB,0.006451612903225712
2021-03-02,ACB,-0.008012820512820484
2021-03-03,ACB,0.008077544426494221
2021-03-04,ACB,-0.02564102564102566
2021-03-05,ACB,0.00164473684210531
2021-03-08,ACB,-0.02052545155993435
2021-03-09,ACB,0.007544006705783701
2021-03-10,ACB,0.022462562396006636
2021-03-11,ACB,0.007323026851098646
2021-03-12,ACB,-0.001615508885298933
2021-03-15,ACB,0.016990291262136026
2021-03-16,ACB,-0.0015910898965790787
2021-03-17,ACB,0.0015936254980080111
2021-03-18,ACB,0.01352426412092278
2021-03-19,ACB,-0.004709576138147598
2021-03-22,ACB,-0.011829652996845463
2021-03-23,ACB,-0.011971268954509062
2021-03-24,ACB,-0.016155088852988775
2021-03-25,ACB,-0.013136288998357948
2021-03-26,ACB,0.01331114808652245
2021-03-29,ACB,0.016420361247947435
2021-03-30,ACB,0.008885298869143687
2021-03-31,ACB,0.0
2021-04-01,ACB,0.01681345076060836
2021-04-02,ACB,0.023622047244094446
2021-04-05,ACB,0.003076923076922977
2021-04-06,ACB,0.0
2021-04-07,ACB,-0.00996932515337412
2021-04-08,ACB,0.0
2021-04-09,ACB,0.0
2021-04-12,ACB,0.021688613477923946
2021-04-13,ACB,-0.01592115238817282
