date,portfolio,cumulative_return
2020-10-14,Equal Weight,0.2537810781216816
2020-10-15,Equal Weight,0.2634209942058401
2020-10-16,Equal Weight,0.2693979423830777
2020-10-19,Equal Weight,0.2776872894042266
2020-10-20,Equal Weight,0.2798686264130943
2020-10-21,Equal Weight,0.2717358932176843
2020-10-22,Equal Weight,0.2870641959229403
2020-10-23,Equal Weight,0.29733046944278696
2020-10-26,Equal Weight,0.27816126154815346
2020-10-27,Equal Weight,0.2670554922574655
2020-10-28,Equal Weight,0.22868074674150773
2020-10-29,Equal Weight,0.23100212617253857
2020-10-30,Equal Weight,0.23694162868423696
2020-11-02,Equal Weight,0.2490286634019836
2020-11-03,Equal Weight,0.2574771570993446
2020-11-04,Equal Weight,0.2664389281519792
2020-11-05,Equal Weight,0.25828442898129533
2020-11-06,Equal Weight,0.257946494764552
2020-11-09,Equal Weight,0.27848598248467593
2020-11-10,Equal Weight,0.2795655982144709
2020-11-11,Equal Weight,0.2810123253937491
2020-11-12,Equal Weight,0.2925247369505477
2020-11-13,Equal Weight,0.30459588898314105
2020-11-16,Equal Weight,0.2848648980337478
2020-11-17,Equal Weight,0.3102582339375668
2020-11-18,Equal Weight,0.3190386007007491
2020-11-19,Equal Weight,0.33309260239508687
2020-11-20,Equal Weight,0.3367989539698748
2020-11-23,Equal Weight,0.34229673012915574
2020-11-24,Equal Weight,0.3413373967862059
2020-11-25,Equal Weight,0.347266932077567
2020-11-26,Equal Weight,0.35756431251481535
2020-11-27,Equal Weight,0.36820582826099346
2020-11-30,Equal Weight,0.3670732668986596
2020-12-01,Equal Weight,0.3805100177890486
2020-12-02,Equal Weight,0.38729560794806095
2020-12-03,Equal Weight,0.39460151556245693
2020-12-04,Equal Weight,0.3968613802605587
2020-12-07,Equal Weight,0.4068937958449068
2020-12-08,Equal Weight,0.4134460540365539
2020-12-09,Equal Weight,0.42832256537427127
2020-12-10,Equal Weight,0.4129328897453124
2020-12-11,Equal Weight,0.4351051622340232
2020-12-14,Equal Weight,0.45930439245039345
2020-12-15,Equal Weight,0.44919355859952415
2020-12-16,Equal Weight,0.4685159304004014
2020-12-17,Equal Weight,0.4576794969128448
2020-12-18,Equal Weight,0.4886205903397005
2020-12-21,Equal Weight,0.5152909220551511
2020-12-22,Equal Weight,0.5219988110090807
2020-12-23,Equal Weight,0.5080812181532717
2020-12-24,Equal Weight,0.4880983241423562
2020-12-25,Equal Weight,0.5204378171499471
2020-12-28,Equal Weight,0.5287881230771756
2020-12-29,Equal Weight,0.5333513788166886
2020-12-30,Equal Weight,0.5276194582753435
2020-12-31,Equal Weight,0.5436182021740579
2021-01-04,Equal Weight,0.5730879236971791
2021-01-05,Equal Weight,0.5978480827758572
2021-01-06,Equal Weight,0.6137563294571253
2021-01-07,Equal Weight,0.6339098640191521
2021-01-08,Equal Weight,0.655218926539691
2021-01-11,Equal Weight,0.6746012161043282
2021-01-12,Equal Weight,0.679914276154612
2021-01-13,Equal Weight,0.679292411518901
2021-01-14,Equal Weight,0.6900714725055554
2021-01-15,Equal Weight,0.7078623716480019
2021-01-18,Equal Weight,0.6986978221876363
2021-01-19,Equal Weight,0.6039466635313655
2021-01-20,Equal Weight,0.6116124048039144
2021-01-21,Equal Weight,0.653827126322944
2021-01-22,Equal Weight,0.6556424096091087
2021-01-25,Equal Weight,0.6488375511217477
2021-01-26,Equal Weight,0.6026733680997747
2021-01-27,Equal Weight,0.5432371190147718
2021-01-28,Equal Weight,0.43490721134467614
2021-01-29,Equal Weight,0.47913242668607703
2021-02-01,Equal Weight,0.44525518052098434
2021-02-02,Equal Weight,0.5075790991223954
2021-02-03,Equal Weight,0.5681953745295847
2021-02-04,Equal Weight,0.569724503854393
2021-02-05,Equal Weight,0.6026090772940629
2021-02-08,Equal Weight,0.5431530627773822
2021-02-09,Equal Weight,0.5916429883186507
2021-02-17,Equal Weight,0.6561835383370296
2021-02-18,Equal Weight,0.6769525832031762
2021-02-19,Equal Weight,0.6790539036948922
2021-02-22,Equal Weight,0.6789292277751913
2021-02-23,Equal Weight,0.6864937148351977
2021-02-24,Equal Weight,0.6629560112049067
2021-02-25,Equal Weight,0.6726084667945655
2021-02-26,Equal Weight,0.6761430890990701
2021-03-01,Equal Weight,0.7123484862063907
2021-03-02,Equal Weight,0.7214914900835787
2021-03-03,Equal Weight,0.7223668876929534
2021-03-04,Equal Weight,0.68530287573247
2021-03-05,Equal Weight,0.6867495324761679
2021-03-08,Equal Weight,0.6827342346673284
2021-03-09,Equal Weight,0.6693211568376318
2021-03-10,Equal Weight,0.6830235698122482
2021-03-11,Equal Weight,0.706665101201579
2021-03-12,Equal Weight,0.7096684887997049
