date,ticker,drawdown
2020-08-04,ACB,0.0
2020-08-05,ACB,0.0
2020-08-06,ACB,-0.008658008658008587
2020-08-07,ACB,-0.012987012987012991
2020-08-10,ACB,-0.008658008658008476
2020-08-11,ACB,0.0
2020-08-12,ACB,0.0
2020-08-13,ACB,0.0
2020-08-14,ACB,-0.008152173913043681
2020-08-17,ACB,0.0
2020-08-18,ACB,-0.008053691275167751
2020-08-19,ACB,-0.008053691275167751
2020-08-20,ACB,0.0
2020-08-21,ACB,0.0
2020-08-24,ACB,-0.008805031446540879
2020-08-25,ACB,-0.0037735849056605986
2020-08-26,ACB,0.0
2020-08-27,ACB,0.0
2020-08-28,ACB,-0.004956629491945752
2020-08-31,ACB,-0.01486988847583659
2020-09-01,ACB,-0.01858736059479571
2020-09-03,ACB,-0.014869888475836368
2020-09-04,ACB,-0.018587360594795488
2020-09-07,ACB,-0.033457249070631856
2020-09-08,ACB,-0.042131350681536506
2020-09-09,ACB,-0.028500619578686548
2020-09-10,ACB,-0.028500619578686548
2020-09-11,ACB,-0.033457249070631856
2020-09-14,ACB,-0.014869888475836257
2020-09-15,ACB,-0.009913258983890727
2020-09-16,ACB,-0.014869888475836257
2020-09-17,ACB,0.0
2020-09-18,ACB,0.0
2020-09-21,ACB,0.0
2020-09-22,ACB,0.0
2020-09-23,ACB,0.0
2020-09-24,ACB,-0.013033175355450122
2020-09-25,ACB,-0.013033175355450122
2020-09-28,ACB,0.0
2020-09-29,ACB,-0.00943396226415083
2020-09-30,ACB,-0.004716981132075304
2020-10-01,ACB,-0.004716981132075304
2020-10-02,ACB,0.0
2020-10-05,ACB,0.0
2020-10-06,ACB,0.0
2020-10-07,ACB,-0.02444444444444438
2020-10-08,ACB,-0.033333333333333215
2020-10-09,ACB,-0.019999999999999907
2020-10-12,ACB,-0.028888888888888964
2020-10-13,ACB,-0.02444444444444438
2020-10-14,ACB,0.0
2020-10-15,ACB,0.0
2020-10-16,ACB,0.0
2020-10-19,ACB,0.0
2020-10-20,ACB,0.0
2020-10-21,ACB,-0.0031612223393044925
2020-10-22,ACB,0.0
2020-10-23,ACB,0.0
2020-10-26,ACB,-0.03124999999999989
2020-10-27,ACB,-0.04687499999999989
2020-10-28,ACB,-0.0697916666666667
2020-10-29,ACB,-0.06562499999999982
