portfolio,annual_return,annual_volatility,sharpe_ratio,max_drawdown
Equal Weight,0.23346710033674464,0.21302375947813446,1.0959674212336328,-0.3886157069596148
Top 5 Sharpe,0.39211838529512855,0.2541871235164253,1.5426366995721963,-0.44363685335027847
Low Volatility,0.09146307125138484,0.16591468694243697,0.5512656711525326,-0.20606970842873118
VNINDEX,0.14137668393868247,0.19290568919183237,0.7328798053130118,-0.4034293489993924
